paper_id,Measurement,Framework,Quantification,Target variable type,Level,Approach,Institution country,Field country,Location,Location range,Habitat type,Taxon,Disturbance type,Disturbance pattern,Observation duration,Justification
921,Observed,stability = resistance + resilience + reactivity,Recovery rate,Biomass,Community,Field observation; Modeling and simulation,CA,IT,"N44.35, E9.15",0,Marine.Neritic,Animalia,Unmanipulated_Biological resource use,Press,9131,The study used observed time series of species level catch data from a stationary fish trap and analysed log transformed CPUE dynamics over 25 years. Resilience was defined as return time or return rate to equilibrium from an ecological disturbance or displacement from equilibrium and quantified as the negative of the leading eigenvalue of the fitted MAR(1) community matrix. The paper explicitly framed community stability as being revealed by three indices resistance resilience and reactivity. The target variable used in the MAR(1) model was CPUE in kg which is a catch biomass index aggregated into three trophic groups. The analysis is based on a trap anchored 200 m from the Camogli coast of the Ligurian Sea and Figure 1 describes this location off the coast of Camogli Italy. Predator depletion is discussed as occurring over a period of strong long term predator decline and fishing effort was identified as the most important predictor of declining community stability which supports an unmanipulated biological resource use disturbance treated as ongoing. The fishing pressure increased over the study period and there is no defined end to the driver within the observation window which matches a press disturbance. The data span 1950 to 1974 which is 25 years giving an observation duration of 25 times 365 days.
1431,Observed,resilience = resistance + recovery,Resistance; Recovery degree,Ecosystem function,Ecosystem,Field observation,US,['US'],"N33.0, W91.0",0,Wetland,Plantae,Unmanipulated_Climatic,Press,1576,The study quantifies vegetation resistance and recovery using MODIS-derived NDVI indices described as indices for vegetation resistance and recovery. Resistance is defined as Rs = NDVI 2011 / NDVI 2010 and recovery is defined as Rc = NDVI 2012 or 2013 or 2014 / NDVI 2011. These indices use observed remote sensing time series across pre-drought drought and post-drought years so the measurement is observed. The introduction and methods present resilience as vegetation resilience namely resistance and recovery. Resistance is quantified as the ratio of NDVI during drought relative to pre-drought which represents capacity to maintain greenness during stress. Recovery is quantified as the ratio of post-drought NDVI to pre-drought or drought year NDVI which captures ability to recover after drought stress and is interpreted as rebound relative to 2011 status. The target variable used to compute both indices is NDVI which the paper uses to represent vegetation health and greenness and thus functions as a vegetation index proxy for ecosystem productivity. The study area is the Lower Mississippi River Basin spanning Missouri Illinois Kentucky Tennessee Arkansas Mississippi and Louisiana and the drought events are naturally occurring. The disturbance is drought severity from the U.S. Drought Monitor which is a climatic stressor and is analyzed as a continuous time window to capture cumulative and compounding effects. The observation window is from March 2 2010 to June 25 2013 and NDVI is extracted for April to October for 2010 through 2014 so the duration between first and last measurement is 1576 days. The first author affiliation is Appalachian State University in the United States. The riparian systems include floodplains wetlands and bottomland hardwood forests and wetlands are explicitly listed as a riparian system type in the study area description. The focal subject is riparian vegetation and plant communities.
36,Inferred,ecosystem health = vigor + organization + resilience + stress,Inferred,Land use; Regional network parameter; Socio-eco parameter,Landscape,Field observation,CN,CN,"N26.9167, E106.5833",5.875,Multi,NA,NA,NA,NA,The paper develops a regional ecosystem health assessment framework described as a Vigor-Organization-Resilience-Stress framework and gives the formula EHI = EVI×EOI×ERI×ESI. Ecosystem resilience is not measured as recovery dynamics but is computed as ERI = sum Ai×RCi where RCi is an ecosystem resilience coefficient assigned by land use type and taken from previous research with coefficients calculated by a weighted average of stability and resilience. Ecosystem organization is quantified using landscape pattern indices from land use data including SHDI SHEI COHESION CONTAG DIVISION MNPARA and AWMFDI. Ecosystem stress is quantified from land use intensity soil erosion intensity and rocky desertification intensity and is treated as external pressure. Because resilience is derived from static land use proportions and assigned coefficients rather than observed recovery after disturbance the resilience measurement is inferred. The study uses RS and GIS datasets including MODIS NDVI and land use and socio-economic data for Guizhou Province China. The study area is given as Guizhou Province 24•37′-29•13′N and 103•36′-109•35′E and the affiliated institution is Guizhou University in Guiyang China. The habitat context includes multiple land use types explicitly listed in the resilience coefficient table including cropland forestland grassland water construction land and bare land.
56,Inferred,none,Inferred,Interaction,Community,Field observation,KE,KE,"S1.09, E37.36",3.1,Multi,Animalia; Plantae,NA,NA,NA,The study states that interaction network resilience was calculated using the network resilience parameter βeff and that this parameter is quantifiable from an ecological network and defines the state of an ecosystem against disturbances such as loss in interactions species interaction weight or combinations therefrom. The methods estimate βeffplants and βeffbees from quantitative plant bee interaction network data pooled across four sampling sessions per plot rather than measuring recovery dynamics of a state variable after a defined disturbance. The analyses assess changes in βeff along an elevation gradient and quantify effects of climate diversity network structure and landscape configuration on βeff using GAM multimodel inference and SEM. Because resilience is evaluated through a network proxy parameter βeff rather than direct observation of recovery time recovery rate recovery degree resistance latitude or invariability of the system after disturbance the measurement type is inferred. No explicit equation style framework is provided that defines resilience as a sum of components or embeds resilience within a higher level variable. The target variable used to quantify resilience is the interaction network property βeff derived from plant bee interaction matrices so the target variable type is interaction. The resilience is quantified for plant and bee interaction networks which are multi species assemblages so the level is community. Data were collected by field observations of plant bee visitation frequencies across 50 plots in Kenya between July 2019 and April 2020. The first author affiliation list includes International Centre of Insect Physiology and Ecology in Nairobi Kenya so the institution country is Kenya. The study area coordinates are given for Taita Hills and Murang’a County Kenya and the average of the provided coordinate ranges is approximately S1.09 E37.36 with a maximum deviation sum of about 3.1 degrees. The plots include savannah shrubland forest tree cover grassland cropland and built up areas and are described as an intermix of natural and anthropogenic habitats so the habitat type is multi. Disturbance is discussed conceptually but no disturbance event is imposed or analysed as a pulse or press for quantifying βeff so disturbance fields and observation duration for disturbance response are NA.
1167,Observed,resistance + resilience + tolerance,Recovery degree,Cover,Community,Field experiment,US,['US'],NA,NA,Multi,Plantae,['Manipulated_Structural'],Pulse,365,The study applied controlled trampling treatments because it states that experimental trampling was conducted and that lanes received 0 to 500 passes with one lane as a control. Vegetation response was measured using observational data because it estimated the cover of each vascular plant species and of mosses and lichens and calculated relative vegetation cover. Resilience is defined as recovery because it states that resilience refers to the ability of a vegetation type to recover following the cessation of trampling. The resilience index is based on change in relative vegetation cover during the year after trampling expressed as a fraction of the change in cover that occurred 2 weeks after trampling. This quantification is a recovery degree because it is an amount of increase in cover over the year relative to the initial loss rather than a time to recovery. The target variable used to quantify resilience is cover because the resilience index is computed from relative vegetation cover. The level is community because the primary response variable is total cover summed across species for each vegetation type and indices were calculated for each vegetation type. The approach is field experiment because trampling treatments were administered in early summer at 18 experimental study sites in five mountainous regions. The institution country is the United States because the first author affiliation is Aldo Leopold Wilderness Research Institute Forest Service US Department of Agriculture in Missoula Montana USA. The field country is the United States because sites were established in mountain regions in the United States and Table 1 lists states Washington Montana Colorado New Hampshire and North Carolina. The habitat type is multi because the study includes 18 vegetation types across multiple regions and includes forested and non forested types with overstorey canopy cover ranging from 0 to 95 percent. The taxon is Plantae because the measured subjects are vascular plant species and vegetation types. The disturbance is manipulated structural because trampling passes are an imposed physical disturbance that changes vegetation cover and structure. The disturbance pattern is pulse because trampling was administered as an event and recovery was measured 2 weeks and 1 year after trampling. Observation duration is 365 days because follow up measurements were taken 1 year after trampling.
1,Inferred,ecosystem health = vigor + organization + resilience,Inferred,Land use,Landscape,Field observation,CN,CN,"N36.10, E120.20",0,Coastal,NA,NA,NA,NA,The study states it uses the Vigor-Organization-Resilience model and defines ecosystem health using vigor organization and resilience. Resilience is not measured from recovery dynamics but is calculated as ER = sum of Ai times RCi where RCi is an ecosystem elasticity coefficient derived by combining expert scores and previous studies and Ai is land use area. This makes resilience an indicator constructed from land use areas and expert derived coefficients rather than observed recovery after disturbance. The methods describe land use data POI data and remote sensing imagery and the resilience indicator is based on land use type areas. The study area is Jiaozhou Bay in Qingdao Shandong Province China and the coastal zone is defined as townships within 10 km of the coastline. The first author affiliation is Ocean University of China in Qingdao China. The location map and text identify Jiaozhou Bay and Qingdao and the coordinates are not provided so the response uses an approximate central coordinate for Jiaozhou Bay. The analysis period is 2012 to 2022 but because measurement is inferred the disturbance pattern and observation duration for resilience are not applicable.
165,Observed,resilience = resistance + recovery,Recovery rate,Cover,Community,Field observation,AU,Global,Global,NA,Marine.Neritic,Animalia,"['Unmanipulated_Climatic', 'Unmanipulated_Hydrological']",Pulse,1825,The study defines resilience as a function of resistance and recovery stating that resilience can be considered as a function of resistance and recovery. Disturbance impact is quantified as the log response ratio of pre to post disturbance percentage coral cover and recovery is analysed from data points following the disturbance. Recovery rate is quantified by fitting linear models to coral cover versus years since disturbance in an approximate 5 year time window and extracting the slope as annual recovery rate in percent coral cover per year. The target variable used in both impact and recovery analyses is total hard coral cover before and after disturbance. The major taxa studied are scleractinian hard corals. The study compiles observational literature data from tropical coral reefs globally and the location is stated as tropical coral reefs globally. Disturbances are acute storms and temperature stress and coastal run off from flooding events which are treated as short lived events linked to climate. The recovery window is explicitly a 5 year period following disturbance which corresponds to 1825 days. The first author affiliation is The University of Western Australia and CSIRO and Australian Institute of Marine Science in Australia. The habitat is coral reefs in shallow coastal and shelf waters consistent with marine neritic environments. Disturbance types include climatic events such as storms and marine heatwaves and hydrological flooding events producing run off.
202,Inferred,resilience = fast recovery,Inferred,Ecosystem function,Ecosystem,Modeling and simulation,US,US,NA,NA,Wetland,NA,NA,NA,NA,The study states that directly observing autotrophic biomass is difficult and that mechanistic models fit to productivity time series can infer underlying biomass dynamics. It describes a latent biomass time series model that estimates daily growth and disturbance of autotrophic biomass as a latent state and fits it to daily gross primary production time series from six rivers. It explicitly defines resilience as fast recovery by stating relatively high ecosystem resilience i.e. fast recovery in algal biomass and primary productivity. It also states that it estimates maximum autotrophic biomass growth rates rmax as a proxy for the resilience of primary producers to flood disturbances and later calls rmax a proxy for ecosystem productivity resilience. Because resilience is treated as a proxy derived from a latent state rather than directly measured recovery of biomass itself the measurement is inferred. The quantification is inferred because resilience is quantified via rmax and daily maximum percent increase in biomass calculated as (ermax−1)×100. The target variable used to infer resilience is ecosystem productivity time series specifically daily gross primary production. The modelling is implemented using Bayesian inference via Hamiltonian Monte Carlo in Stan and uses out of sample prediction tests. The first author affiliation is University of Nevada Reno in the United States. The rivers are identified with US state abbreviations and USGS discharge data are used indicating the field data are from the United States. The text does not provide coordinates for the six sites. The system is rivers and streams which fit the wetland habitat category. Because measurement is inferred disturbance type pattern and observation duration are coded as NA per instructions.
1228,Observed,resilience + resistance,Recovery rate,Abundance; Composition,Community,Field experiment,US,US,N37.93 W85.65,0,Forest,Chromista; Plantae,Manipulated_Hydrological,Pulse,33,The study used outdoor experimental stream channels and imposed simulated spates by increasing current to about 60 cm per second and scouring tiles with a high pressure hose. It defined resistance as change in algal biomass and taxonomic structure across a disturbance and it assessed resilience as convergence with a temporally changing undisturbed control community. Resilience was assessed in terms of biomass parameters specifically cell numbers and community composition. Resilience quantification used rates of cell accrual after spates with net algal growth rates estimated from the rate of change in natural log transformed cell densities during each post spate recovery period. Community composition resilience was evaluated using trajectories on detrended correspondence analysis ordination plots. The target variables directly used for resilience were cell densities of diatoms and zygnematalean green algae and diatom assemblage composition. The work was a field experiment because it was conducted in outdoor experimental stream channels at the University of Louisville experimental stream facility drawing water from Harts Run. The first author affiliation line gives University of Louisville in the United States. The field site is Bernheim Forest Nature Preserve in Bullitt County Kentucky USA and the water source is Harts Run draining a basin of mixed hardwood forest. The disturbance is a pulse because each spate lasted 2 hours and sampling occurred immediately after each spate and at subsequent 3 day intervals. The observation window for disturbance and resilience spans from day 0 to day 33 as shown in the sampling schedule and described as 33 days following a simulated spate.
167,Inferred,resilience + resistance,Inferred,Diversity,Community,Field observation,PT,PT,"N38.75, W9.00",0,Multi,Animalia,NA,NA,NA,The introduction defines ecological resilience as the ability of a system to absorb changes to maintain the same identity and states that functional evenness has been used as a proxy for the resilience of communities. The study quantifies functional evenness and other diversity metrics and uses them to compare invaded and non-invaded communities and to relate diversity to human disturbance and landscape heterogeneity. The discussion states that non-invaded showed higher resilience i.e. FEve than invaded communities and that invaded community diversity has a lower resilience to disturbance. Because resilience is treated as a proxy based on diversity metrics rather than measured as recovery dynamics after a disturbance it is inferred. The paper discusses resilience alongside resistance and also links higher diversity to resistance to invasion without defining a single higher level variable. Bird communities were surveyed with point counts in the Tagus estuary area Portugal indicating field observation. The first author affiliations are at the University of Lisbon and CIBIO InBIO in Portugal. The study area is the Tagus estuary area around Lisbon so an approximate coordinate is provided and the sampling points are within one region so the range is coded as 0. The landscape includes forest agriculture urban shrubland and wetland so the habitat type is multi. The focal organisms are birds so the taxon is Animalia. Disturbance is discussed as human disturbance but resilience measurement is inferred so disturbance type pattern and observation duration are not applicable.
