paper_id,Criteria met,Justification
282,IN,"The Methods explicitly define and compute a numerical “Resilience Index (RI = 1 − γ)” within an “exposure-sensitivity-resilience” framework and use it to calculate EVI via Equations (1)–(5), reporting RI and EVI results."
852,IN,The Methods explicitly compute a resilience index (Rs = Gpost/Gprev) and related resistance/recovery indices from BAI before/during/after the 1985–1986 drought and report resilience results.
242,IN,"The study explicitly quantifies drought resilience using Lloret et al. (2011) resilience indices (Rt, Rc, Rs, RRs) with provided equations and calculated results for stems and roots across drought events and forest stages."
36,IN,The study quantitatively computes an Ecosystem Resilience Index (ERI) within a Vigor-Organization-Resilience-Stress (VORS) ecosystem health framework using an explicit formula (ERI = Σ Ai×RCi) and reports ERI results.
97,IN,The study explicitly frames demographic buffering as a mechanism of resilience and quantitatively computes variance buffering via the coefficient of variation of annual population growth rates (λt) and stochastic growth rate (λS) using stochastic matrix projection models and simulations.
1,IN,"The study explicitly quantifies ecosystem resilience (ER) within a VOR framework using the formula ER = Σ(Ai × RCi) and reports resilience results (e.g., Table 8)."
207,OUT,"Although resilience is discussed conceptually (e.g., “potential resilience effects” and “may be interpreted as structural resilience”), the study does not define or compute a quantitative resilience metric or explicitly state any calculated variable is a proxy for resilience."
264,IN,"The study explicitly quantifies ecological network resilience by defining and computing robustness and redundancy indices (Eqs. 16, 23) and then calculating resilience R via Eqs. 24–25 with reported resilience results (e.g., PRD 1990 = 0.364; BTH 2020 = 0.351)."
202,IN,"The study explicitly defines resilience as a proxy (maximum biomass growth rate rmax), provides equations to estimate it (Ricker-based latent biomass model), and reports calculated resilience values (daily maximum percent increase in biomass 5–42%)."
167,IN,The paper explicitly states that functional evenness (FEve) is used as a proxy for community resilience and quantitatively computes FEve (via dbFD) and reports results comparing FEve among community types.
81,IN,"The study quantitatively computes ecological resilience using an explicit ER index (ERI) formula (Eq. 2) based on weighted EDF, ECC, and ERC and reports spatiotemporal ER results."
17,IN,"The study explicitly quantifies ecosystem resilience (and resistance) using ARx model coefficients (e.g., Eq. (1) where coefficient α is defined as resilience) and computes normalized resilience/resistance indices and a hydro-resistance index (Eq. (3)) with reported results."
419,IN,"The study explicitly quantifies ecological resilience via three measured dimensions (resistance, heterogeneity, recovery) and provides mathematical methods (logistic recovery model Eq. 1 and derived recovery time Eq. 2) to compute resilience-related results."
35,IN,The study explicitly quantifies vegetation resilience using the posterior mean of negative lag-1 autocorrelation of MODIS EVI (estimated via a Bayesian dynamic linear model with equations provided) as a numerical proxy for resilience and reports resilience trends and changes.
86,OUT,"Although resilience is mentioned conceptually, the study quantifies stem/biomass dynamics and LTRs but does not define, compute, or use any metric/index explicitly as resilience or a proxy for resilience."
24,OUT,"Although “resilience” is mentioned conceptually (e.g., keywords and discussion), the study quantitatively analyzes plant/soil responses (height and Amax ratios, survival, nutrients, enzyme activities) without explicitly defining or computing any resilience metric or proxy as resilience."
132,OUT,"Although “resilience” is discussed (e.g., “reduced resilience” and “overall resilience”), the study does not explicitly define or compute a quantitative resilience metric or proxy as resilience in its analyses."
1125,IN,"The paper explicitly defines resilience as recovery time to pre-disturbance state and quantitatively estimates it using computed similarity/regeneration indices (e.g., Sørensen similarity and a 0–100 regeneration index) plotted against time since disturbance to derive recovery periods."
157,OUT,"Although “resilience” is mentioned conceptually, the quantitative analysis computes ecological risk, ecosystem functions, connectivity, and network robustness without explicitly defining or calculating any resilience index or proxy as resilience."
212,IN,"The study explicitly quantifies tree growth resilience using calculated indices (RT, RC, RS) and additional computed metrics (TGR, RE, ARR) with stated calculation methods (Lloret et al. 2011; Schwarz et al. 2020) and reports results for drought years."
117,IN,The study explicitly quantifies resilience (and resistance/recovery) using equations for Pmax-based indices and reports results.
95,OUT,"Although resilience is mentioned conceptually (e.g., “reduce the resilience of remnant populations”), the study quantitatively analyzes fecundity, hatching success, development, and survivorship without defining or computing any resilience metric or proxy explicitly as resilience."
114,OUT,"Resilience is only mentioned conceptually (e.g., “assessing forest resilience” and “resilience to withstand...pressures”) and no resilience metric/proxy is explicitly defined or calculated."
48,OUT,"The paper discusses “ecological resilience” conceptually but only quantifies landscape ecological risk, resistance surfaces, and connectivity/corridor metrics without explicitly defining or calculating any resilience index or proxy as resilience."
1075,OUT,"Although “recovery” is calculated as a before–after difference in canopy cover, the paper does not explicitly quantify resilience or state that any measured variable is a proxy for resilience."
715,OUT,"Although resilience is discussed conceptually, the quantitative analysis computes z-scores, CV, and CCC to identify “oases” and does not explicitly define or calculate any metric as resilience or a proxy for resilience."
62,IN,The Methods explicitly quantify ecosystem resilience (ER) via a defined equation (RCi) with assigned land-use resilience coefficients and report resilience values/results.
171,OUT,"Although “population resilience” is mentioned conceptually, the study does not explicitly define, compute, or quantify resilience (or a stated proxy for resilience) with a mathematical index/method in its analyses."
101,OUT,The paper quantifies decomposition and stabilization (Tea Bag Index ki and S) and mentions “drought resilience” only conceptually for microbial biomass without explicitly defining or calculating any resilience metric or proxy as resilience.
126,IN,"The study explicitly quantifies resilience using a defined calculation (Equation (3) with Yn, Ye, and Ye+1) and reports results linking ECE frequency to decreased resilience and ANPP stability."
214,IN,"The study explicitly quantifies demographic resilience via calculated transient metrics (resistance, compensation, recovery) from matrix population models, including specified computation methods (e.g., standardizing by dominant eigenvalue λ and estimating first-step/max attenuation, reactivity/max amplification, damping ratio ρ, and period ψ)."
238,OUT,"Although “resilience” is mentioned conceptually (e.g., species richness as “therefore resilience”), the quantitative analysis computes species richness/propagule input and does not provide any explicit resilience metric, proxy calculation, or resilience results."
124,IN,"The Methods explicitly define and compute network “restore robustness” as resilience (Eqs. 5–6) and report pre/post-optimization robustness results, and the Results/Discussion state improved connectivity and resilience."
1084,IN,The study explicitly quantifies “physiological resilience” to heat shock and desiccation using measured PSII maximum quantum yield (Fv/Fm) recovery after stress (including normalization to controls) and reports statistical results comparing resilience across populations.
1189,IN,"The study assigns numerical resilience and resistance indicator classes (1–10) to climate regimes using an explicit ruleset based on temperature, precipitation, and monsoon index and reports resulting mapped indicators and changes over time."
163,OUT,The paper quantifies temporal stability (inverse coefficient of variation) and pollinator synchrony/asynchrony indices but does not explicitly define or compute resilience (or a stated proxy for resilience) in its quantitative analysis.
191,IN,The study explicitly quantifies resilience by calculating RLDC and RSDC (ratios of LVP/SVP to degraded patch coverage) from UAV images as measures of patch resilience and analyzes their results.
187,OUT,"Although resilience is mentioned conceptually (for example, “strong functional resilience” and “community-level resilience”), the study does not define or compute a quantitative resilience index/method or explicitly state that any calculated variable is a proxy for resilience."
9,OUT,"Resilience is only discussed conceptually (e.g., “stable, resilient state”) without any explicit quantitative resilience metric, proxy statement, or calculation method."
153,IN,The Methods explicitly quantify resilience as the NDVI change-trend slope (Formula (1)) with significance testing (F test) and use significantly increased NDVI pixels as “resilient” to derive resilience patches and results.
226,IN,The study explicitly evaluates resilience by quantitatively comparing equilibrium tree densities across fire regimes and states this total equilibrium density metric is used to assess whether mixed forests are more resilient.
137,IN,The Methods explicitly quantify ecosystem resilience (R) within the VORS ecosystem health index (EHI = (V×O×R×S)^(1/4)) and compute ER using numerical land-use-based resilience values (Table 2).
1117,IN,The study explicitly defines and computes a quantitative proxy for five-year retrospective resilience as 1/¯D (inverse of median absolute standardized NDVI change intensity) and reports resulting resilience estimates across habitat scale domains.
42,IN,"The study explicitly quantifies ecological resilience via a defined ecological resilience index (ERI) with equations (e.g., ERIt=(ECO+NPP)/2; ERIa=(ECO+Ws+Wt+(1−Chl-a))/4) and uses it in the ecological vulnerability index EVI=ESI+(1−ERI) to produce results."
92,OUT,"Although “vegetation resilience” is mentioned conceptually, the study only quantifies seed bank/vegetation metrics and Sorensen similarity (Js) without explicitly defining or calculating resilience (or a stated proxy for resilience) in its quantitative analysis."
84,IN,The Methods explicitly calculate drought resilience indices (including resilience Rs and relative resilience RelRs) with defined computation methods and report resulting resilience metrics and analyses.
