paper_id,Measurement,Framework,Quantification,Target variable type,Level,Approach,Institution country,Field country,Location,Location range,Habitat type,Taxon,Disturbance type,Disturbance pattern,Observation duration,Justification
1378,Inferred,none,Inferred,Interaction,Community,Field observation,CA,CA,NA,NA,Forest,Plantae,NA,NA,NA,The study states that it aims to develop resilience indicators and it evaluates functional redundancy and response diversity as indicators of ecosystem resilience to disturbances. It analyses relationships between pre logging functional redundancy and response diversity measured with sample plots and post logging productivity measured as seasonal variation in enhanced vegetation index from MODIS. Functional redundancy and response diversity are functional diversity based indicators and are used to predict post logging productivity rather than measuring recovery of the forest state variable itself as resilience. The methods state that these two metrics were not remeasured after clear cutting took place and they are treated as pre disturbance indicators. The disturbance is clear cutting and is described as a stand replacing disturbance but resilience is not explicitly defined as an equation or as a component of a higher level variable. The response diversity metric is calculated as Rao quadratic diversity which is a functional dispersion based indicator within functional effect groups. The subjects are trees and the study separates deciduous and coniferous species as functional effect groups. The study area is Quebec Canada and the first author affiliation is Laval University in Quebec Canada. The approach uses provincial forest inventory plots and MODIS satellite imagery which are field observation data sources. The habitat is northern temperate and boreal forests. No coordinates are provided in the text and the map figure does not provide numeric coordinates. Because measurement is inferred the disturbance type pattern and observation duration are coded as NA.
231,Observed,resilience = resistance + recovery,Recovery degree,Biomass,Community,Field experiment,CN,CN,"N41.643972, E110.315361",0,Grassland,Bacteria; Fungi; Protozoa,Manipulated_Climatic; Manipulated_Chemical,Press,1460,The study states that a field experiment was conducted to quantify soil microbial responses and resilience to precipitation changes with nitrogen addition. Resilience was defined as the ratio of the soil microbial traits after the reverse treatments to those of the control treatment. The soil microbial traits were measured using PLFA markers to represent microbial biomass for bacteria fungi actinomycetes AMF and protozoa and ratios such as GP GN and F B. The framework is explicitly described as resilience incorporating both resistance and recovery. The disturbance was manipulated precipitation with five levels applied in 2016 to 2018 and reversed in 2019 and manipulated nitrogen addition using ammonium nitrate at 10 g N m−2 year−1. The disturbance pattern is press because precipitation and nitrogen treatments were maintained across multiple years with no discrete event recovery window until the reversal year. The observation duration spans from initiation in early May 2016 through soil sampling in late August 2019 which is four years. The experimental site is a desert steppe in Bailingmiao Damao County Inner Mongolia China with coordinates given as 41 38 38.300 N and 110 18 53.300 E. The first author affiliations are in Beijing China. The habitat is described as a desert steppe ecosystem which is a grass dominated system. The resilience quantification uses the trait ratio after reversal relative to control which is a recovery degree type comparison rather than a rate or time.
1108,Observed,resilience + resistance,Recovery rate,Ecosystem function,Ecosystem,Field observation,US,US,"N38.94, W120.10",0,Forest,Plantae,Unmanipulated_Climatic,Pulse,23360,The study used 64 years of stand productivity measures and measured annual growth increments of over 900 trees from 1940 to 2004. Resilience was defined as the speed at which a system returns to its original state after being disturbed and in forest systems it was measured as the rate of return to mean community productivity following a disturbance. Drought events were treated as external perturbations and drought years were identified from climate and productivity records including mild drought years and severe drought years. Resilience was quantified using relative productivity deviation metrics comparing postdrought productivity to a 10 year predrought average and the analysis focused on the year immediately following a drought. The target variable used for resilience quantification was community productivity defined as annual basal area produced summed across individuals within a stand and described as ecosystem function. The work was based on field sampling of 40 stands in the Desolation Wilderness and three stands in the Babbitt Peak Research Natural Area in California. The first author affiliation was University of California Davis. The disturbance was climatic drought and it was not experimentally manipulated. Drought events were discrete years or short multi year events such as 1948 1960 to 1962 1988 to 1989 1992 and 1995 which matches a pulse framing. The observation window for resilience related analyses was 1940 to 2004 which is 64 years or 23360 days. The habitat was upper montane conifer forest stands composed of four dominant conifer tree species.
242,Observed,resilience = resistance + recovery,Recovery degree,Growth,Individual,Field observation,ES,ES,"N40.844444, W1.885278",0,Forest,Plantae,Unmanipulated_Climatic,Pulse,3285,The paper defines forest resilience as the ability to maintain state and functions after a perturbation and it applies the Lloret et al. 2011 indices resistance recovery resilience and relative resilience. Resilience components are calculated from tree ring derived cross sectional area increment time series for stems and coarse roots using CSAI during the drought year and mean CSAI for the three years before and after each drought event. Drought events are identified from SPEI with spring SPEI less than minus 2 in 2005 and 2012 and arrows in the CSAI figure indicate both drought events. Resilience Rs is quantified as CSAI three year post drought divided by CSAI three year pre drought which is a recovery degree relative to baseline. The target variable used in the resilience equations is secondary growth expressed as cross sectional area increment derived from ring widths. Measurements are at the individual tree level because indices are calculated for each individual and roots are averaged per tree. The approach is field observation because cores were extracted from stems and excavated coarse roots in Alto Tajo Natural Park. The first author affiliation is in Madrid Spain. The study area is in Spain and a coordinate is provided for Molina de Aragón N40 50 40 W1 53 07. The habitat is Juniperus thurifera forests in Alto Tajo Natural Park. The taxon is Juniperus thurifera which is a plant. The disturbance is climatic drought based on SPEI and it is unmanipulated. The disturbance is treated as pulse events because two discrete drought years 2005 and 2012 are selected and recovery is assessed in the three years after each event. The observation window used for analyses is 2000 to 2018 which is 19 years or 6935 days and the resilience windows require three years before and after each event within that period.
523,Observed,none,Recovery rate,Ecosystem function,Ecosystem,Field observation,AR,AR,"S36.8336, W60.4669",0,Wetland,NA,"['Unmanipulated_Climatic', 'Unmanipulated_Landuse and infrastructure development']",Press,91250,The study quantifies resilience using early warning indicators described as resilience indicators based on statistical moments including standard deviation and autocorrelation at lag-1. These indicators are calculated on time series derived from the lake sediment record covering the last 250 years which is direct observational data from the system. The methods state that trends of standard deviation and autocorrelation at lag-1 were estimated as early leading indicators of a regime shift using ordination axis scores. Autocorrelation at lag-1 is treated as a resilience indicator and measures critical slowing down which corresponds to recovery rate. The target variables used for resilience quantification are the ordination scores representing geochemical and biological proxies and the paper interprets these as ecosystem scale indicators including nutrients and pigments and assemblage changes across the food web. The approach is field observation because sediment coring was conducted in Blanca Chica Lake and proxies were measured from the collected core. The first author affiliation is in Argentina at Universidad Nacional de Mar del Plata CONICET. The field site is Blanca Chica Lake in central Argentina with coordinates given as 36 50 00.9 S and 60 28 00.9 W. The habitat is a shallow lake described as part of a large area of wetlands in the Pampa plain. Disturbance drivers discussed for the transitions include an increase in precipitation and a post 1920 change in land use and these are treated as ongoing pressures over multi decade periods rather than discrete events. The observation window spans about 250 years from around AD 1750 to around AD 2000 which is about 91250 days.
46,Observed,resistance + resilience,Recovery rate,"['Diversity', 'Composition']",Community,Field observation,GB,GB,"N52.954, W1.158",0,Wetland,Animalia,"['Unmanipulated_Climatic', 'Unmanipulated_Hydrological']",Pulse,11680,The study used long term biomonitoring data with repeated invertebrate samples from 1990 to 2022 and quantified drought using low flow anomalies and time since drought which is direct observation of system dynamics. Resilience was analysed as post drought change because the methods define type ii recovery models that assessed community change over time post drought using time since drought. The introduction explicitly discusses resistance and resilience in parallel and states that communities return to their pre disturbance composition within 1 to 3 years post drought. Recovery was quantified as recovery rates because the hypotheses include that recovery rates increase with site scale naturalness and the discussion reports that WHPT ASPT recovered faster and that increases in richness were slower or greater depending on impacts. The target variables used in the resilience quantification were community metrics including taxa richness and WHPT ASPT and community deviation from average composition which correspond to diversity and composition. The biological organization level is community because the metrics summarize invertebrate community richness index values and Bray Curtis based deviation. The approach is field observation because samples were collected at river sites using kick sampling and paired with modelled and measured environmental data rather than an imposed experimental disturbance. The first author affiliation is Nottingham Trent University in the United Kingdom. The field data are from rivers fed by England's chalk aquifers and the Environment Agency of England sampling. Figure 1 indicates the study area is England chalk rivers and no explicit coordinates are provided so the location is set to Nottingham as the only explicit place name in the text. The habitat is freshwater rivers which fit the wetland category. The focal organisms are aquatic invertebrates which are Animalia. Drought is treated as a discrete event defined as a 6 month period with low flow anomaly below the 10th percentile and recovery is tracked with time since drought so the disturbance is a pulse. The observation duration spans from 1990 to 2022 which is 32 years or 11680 days.
1342,Observed,resilience = resistance + recovery,Resistance,Cover; Abundance,Population,Field observation,ES,US,"N38.301, W123.700",0,Marine.Neritic,Plantae,Unmanipulated_Climatic; Unmanipulated_Biotic,Pulse,2555,The introduction defines resilience as the combination of resistance and recovery and defines resistance as the ability to maintain its state by withstanding disturbance and recovery as the ability to rapidly go back to pre-disturbance conditions. The study states that it investigates drivers of bull kelp forest resistance and later states that it evaluated ecological resistance by measuring patterns of persistence cover and abundance. Bull kelp cover and persistence were calculated from a time series of PlanetScope satellite data from 2016 to 2022 and bull kelp abundance was measured via SCUBA transects in 2020 to 2022 which are direct observations. The discussion explicitly says that bull kelp resistance was evaluated using persistence cover and abundance. Because resilience is operationalized as resistance in the analyses the quantification is resistance rather than recovery metrics. The target variables used for resistance are bull kelp cover and bull kelp abundance as shown in Figure 1 and described in methods and discussion. The focal organism is bull kelp Nereocystis luetkeana which is a macroalga and is treated here under Plantae. The work uses in situ field surveys and satellite remote sensing which are field observation approaches. The first author primary affiliation is Institut de Ciències del Mar in Barcelona Spain. The field sites are in northern California USA and the experiment collections are in California USA. A coordinate explicitly provided in the methods is Bodega Marine Laboratory in Bodega Bay at 38.301611 N and 123.6695 W which is within the study region and is used for the salinity record and seawater source. The disturbance context described is the 2014 to 2016 marine heatwave and predator loss leading to purple urchin proliferation which are unmanipulated climatic and biotic disturbances treated as episodic events. The satellite observation window for kelp cover spans 2016 to 2022 which is 7 years or 2555 days.
264,Inferred,resilience = robustness + redundancy,Inferred,Interaction,Landscape,Modeling and simulation,CN,CN,"N32.0, E116.0",0,Urban,NA,NA,NA,NA,The paper proposes a resilience evaluation framework for ecological networks and states that it evaluates resilience from the perspectives of robustness and redundancy and that resilience is indicated by balancing robustness and redundancy with equations defining resilience from Robustness and Redundancy. Resilience is not quantified from observed recovery of an ecosystem state variable but from network structure indicators because robustness is quantified by agglomeration connectivity and network density and redundancy is quantified by diversity transformation and complexity. The shock simulation removes nodes and edges and then recalculates network resilience which is a simulated structural response rather than observed ecological recovery dynamics. The target variables directly used to quantify resilience are network metrics describing nodes edges paths and connectivity which correspond to interaction type variables. The study system is an ecological network across urban agglomerations and the analysis is at a landscape scale. Data sources are spatial datasets including LUCC NDVI nighttime lights DEM soil and roads and the study areas are the Yangtze River Delta Beijing Tianjin Hebei and Pearl River Delta in China. The first author affiliation is Guangdong University of Technology in Guangzhou PR China. The study area figure and text indicate three urban agglomerations in China and no explicit coordinates are provided so the location is set to NA but an approximate central coordinate is provided for the combined region.
140,Observed,resilience = rate of recovery from disturbance,Recovery rate,Cover; Growth; Composition,Community,Field experiment,CN,US,NA,NA,Wetland,Plantae,Manipulated_Chemical; Manipulated_Structural,Pulse,3835,The introduction defines resilience as the rate of recovery from disturbance. The methods quantify recovery rates as relative recovery rate equals 1 divided by recovery time in months and for one site as recovery proportion in 2020 divided by 127 months. Recovery is evaluated from field measurements of vegetation cover vegetation height and plant community composition in disturbed plots compared with control plots from 2010 to 2020. The disturbance is experimentally imposed by applying a systemic herbicide glyphosate and clipping shoots to remove aboveground vegetation. The target variables used to quantify resilience are vegetation cover vegetation height and Bray Curtis similarity based community composition. These variables are measured across plant species within plots so the level is community. The study is a manipulative field experiment in 12 tidal marshes on the coast of Georgia USA. The first author affiliation listed is Tianjin Normal University in China. The disturbance is treated as a discrete experimental disturbance followed by recovery monitoring which matches a pulse framing. Observation duration spans from March 2010 to October 2020 which the methods state is 127 months.
814,Observed,resilience + resistance,Recovery degree,Cover,Ecosystem,Field observation; Modeling and simulation,US,US,"N29.225, W90.225",0,Wetland,Plantae,Unmanipulated_Climatic,Pulse,12053,The study quantified spatiotemporal patterns in mangrove range expansion and contraction using coastal wetland coverage data with mangrove coverage dates of 1978 1993 2000 and 2011 determined via photointerpretation. The disturbance was extreme freeze events described as winter climate extremes and operationalized with daily minimum air temperatures and thresholds such as air temperatures below a threshold zone of −6.3 to −7.6°C and severe freeze events in the 1980s. Resilience was explicitly defined as capacity to recover after being affected by a freeze event and resistance as capacity to withstand a freeze event and they were discussed together without being placed under a higher level variable. The analysis linked decreases and increases in mangrove forest area to whether minimum air temperatures fell below or stayed above the threshold zone and described the post 1980s period as a recovery phase following contraction. The resilience related outcome was recovery after freeze events and was represented by increases in mangrove area and dominance following the freeze driven reduction which corresponds to recovery degree in mangrove cover. The target variable used for these changes was mangrove coverage area and mangrove forest dominance which are cover based measures. The work was conducted in the Mississippi River Deltaic Plain Louisiana USA within a wetland study polygon spanning Golden Meadow at approximately 29.35 N 90.25 W to Port Fourchon at approximately 29.10 N 90.20 W and the average coordinate is reported. The first author affiliation is U.S. Geological Survey in Lafayette Louisiana USA. The disturbance was treated as discrete freeze events with specific dates such as 23 December 1989 4 February 1996 and 30 January 2010 and severe events in 1982 1983 1985 and 1989 indicating a pulse framing. The observation window for mangrove coverage spans from 1978 to 2011 which is 33 years or 12053 days.
